Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z3, 9, 1, 720, 17344.000000, 0.031008, 559339.525284,559336.000000, 1.000000, 2, 0.000063, 111867.905057, 111867.905057
Z3, 10, 1, 720, 16912.000000, 0.037408, 452095.808383,452088.000000, 1.000000, 2, 0.000063, 90419.161677, 90419.161677
Z3, 11, 1, 720, 13240.000000, 0.032318, 409678.816758,409672.000000, 1.000000, 2, 0.000063, 81935.763352, 81935.763352
Z3, 12, 1, 720, 28328.000000, 0.028423, 996657.636421,996656.000000, 1.000000, 2, 0.000063, 199331.527284, 199331.527284
Z3, 13, 1, 720, 30528.000000, 0.027345, 1116401.535930,1116400.000000, 1.000000, 2, 0.000063, 223280.307186, 223280.307186
Z3, 14, 1, 720, 16360.000000, 0.027311, 599026.033466,599024.000000, 1.000000, 2, 0.000063, 119805.206693, 119805.206693
Z3, 15, 1, 720, 33216.000000, 0.027457, 1209746.148523,1209744.000000, 1.000000, 2, 0.000063, 241949.229705, 241949.229705
Z3, 16, 1, 720, 28000.000000, 0.027549, 1016370.830157,1016368.000000, 1.000000, 2, 0.000063, 203274.166031, 203274.166031
Z3, 17, 1, 720, 15744.000000, 0.027194, 578951.239244,578944.000000, 1.000000, 2, 0.000063, 115790.247849, 115790.247849
Z3, 18, 1, 720, 18976.000000, 0.027906, 679997.133233,679992.000000, 1.000000, 2, 0.000063, 135999.426647, 135999.426647
Z3, 19, 1, 720, 8720.000000, 0.027149, 321190.467421,321184.000000, 1.000000, 2, 0.000063, 64238.093484, 64238.093484
Z3, 20, 1, 720, 11576.000000, 0.028384, 407835.400225,407832.000000, 1.000000, 2, 0.000063, 81567.080045, 81567.080045
Z3, 21, 1, 720, 10816.000000, 0.038214, 283037.630188,283032.000000, 1.000000, 2, 0.000063, 56607.526038, 56607.526038
Z3, 22, 1, 720, 13224.000000, 0.027715, 477142.341692,477136.000000, 1.000000, 2, 0.000063, 95428.468338, 95428.468338
Z3, 23, 1, 720, 17528.000000, 0.027464, 638217.302651,638216.000000, 1.000000, 2, 0.000063, 127643.460530, 127643.460530
Z3, 24, 1, 720, 23824.000000, 0.027124, 878336.528536,878336.000000, 1.000000, 2, 0.000063, 175667.305707, 175667.305707
Z3, 25, 1, 720, 11024.000000, 0.077121, 142944.204562,142944.000000, 1.000000, 2, 0.000063, 28588.840912, 28588.840912
Z3, 26, 1, 720, 15112.000000, 0.028291, 534162.807960,534160.000000, 1.000000, 2, 0.000063, 106832.561592, 106832.561592
